0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:36:58 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:36:58 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:36:58 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:36:58 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:36:59 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:36:59 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:02 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:02 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:02 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:37:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:46:14 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:50:35 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
